mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
공동경비구역 JSA,Joint Security Area /JSA,20000044,2000,한국,장편,드라마(1),개봉,박찬욱,
올드보이,Old Boy,20030350,2003,한국,장편,스릴러,개봉,박찬욱,
반지의 제왕 : 왕의 귀환,The Lord of the Rings: The Return of the King,20030316,2003,미국(1),장편,판타지(1),개봉,피터 잭슨,
범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,20113557,2011,한국,장편,범죄(1),개봉,윤종빈,
타짜,Tazza: The High Rollers,20060277,2006,한국,장편,드라마,개봉,최동훈,
엽기적인 그녀,My Sassy Girl,20010020,2001,한국,장편,코미디,개봉,곽재용,
태극기 휘날리며,TaeGukGi: Brotherhood Of War,20030371,2004,한국,장편,전쟁(1),개봉,강제규,
괴물,The Host,20060151,2006,한국,장편,SF(2),개봉,봉준호,
"광해, 왕이 된 남자",Masquerade,20124079,2012,한국,장편,사극(1),개봉,추창민,
나쁜 남자,Bad Guy,20010005,2002,한국,장편,드라마,개봉,김기덕,
어바웃 타임,ABOUT TIME,20135428,2013,영국,장편,멜로/로맨스(1),개봉,리차드 커티스,
살인의 추억,Memories of Murder,20030046,2003,한국,장편,스릴러,개봉,봉준호,
여인의 향기,Scent Of A Woman,19930101,1993,미국,장편,드라마,개봉,마틴 브레스트,
레미제라블,Les Miserables,20128274,2012,미국,장편,드라마,개봉,톰 후퍼,
러브 액츄얼리,Love Actually,20030404,2003,미국(1),장편,멜로/로맨스(2),개봉,리차드 커티스,
브루스 올마이티,Bruce Almighty,20030089,2003,미국,장편,코미디(1),개봉,톰 새디악,
어거스트 러쉬,August Rush,20070585,2007,미국,장편,드라마,개봉,커스틴 쉐리단,
매트릭스,The Matrix,19990193,1999,미국,장편,SF(1),개봉,릴리 워쇼스키 ,
트루먼 쇼,The Truman Show,19980231,1998,미국,장편,드라마(2),개봉,피터 위어,
다크 나이트,The Dark Knight,20081056,2008,미국,장편,범죄(3),개봉,크리스토퍼 놀란,
인셉션,Inception,20100312,2010,미국,장편,드라마(1),개봉,크리스토퍼 놀란,
포레스트 검프,Forrest Gump,19940343,1994,미국,장편,드라마(1),개봉,로버트 저메키스,
테넷,Tenet,20201122,2020,미국,장편,액션(1),개봉,크리스토퍼 놀란,4.5
데몰리션,Demolition,20163961,2016,미국,장편,드라마,개봉,장 마크 발레,4.5
윤희에게,Moonlit Winter,20196284,2019,한국,장편,멜로/로맨스,개봉,임대형,4.5
조커,Joker,20199950,2019,미국,장편,액션(2),개봉,토드 필립스,4.5
기생충,PARASITE,20183782,2019,한국,장편,드라마,개봉,봉준호,4.5
생일,Birthday,20183096,2018,한국,장편,드라마,개봉,이종언,4.5
어벤져스: 엔드게임,Avengers: Endgame,20184889,2018,미국,장편,액션(1),개봉,"안소니 루소 , 조 루소",4.5
오아시스,Oasis,20020226,2002,한국,장편,드라마,개봉,이창동,4.5
비스티 보이즈,Beastie Boys,20080394,2008,한국,장편,드라마,개봉,윤종빈,4.5
서치,Searching,20185046,2017,미국,장편,드라마,개봉,아니쉬 차간티,4.5
버닝,BURNING,20173202,2018,한국,장편,미스터리,개봉,이창동,4.5
코코,COCO,20179985,2017,미국,장편,애니메이션,개봉,리 언크리치,4.5
소공녀,Microhabitat,20173962,2017,한국,장편,멜로/로맨스(1),개봉,전고운,4.5
가디언즈 오브 갤럭시,Guardians of the Galaxy,20149317,2014,미국,장편,액션(2),개봉,제임스 건,4.5
리틀 포레스트,Little Forest,20170841,2018,한국,장편,드라마,개봉,임순례,4.5
강철비,Steel Rain,20170402,2017,한국,장편,액션(1),개봉,양우석,4.5
범죄도시,THE OUTLAWS,20172742,2017,한국,장편,범죄(1),개봉,강윤성,4.5
아이 캔 스피크,I Can Speak,20174142,2017,한국,장편,코미디,개봉,김현석,4.5
